公司全称,职位名称,薪资范围,公司规模,技能标签,公司行业,所需资历,公司位置,教育程度,公司地址
北京字节跳动科技有限公司,数据分析师,8k-16k,2000人以上,['编辑'],"移动互联网,数据服务",1-3年,徐汇区,本科,
广东省电信规划设计院有限公司,数据分析,7k-10k,2000人以上,"['SQL', 'SPSS', '数据库']","移动互联网,金融",1-3年,虹口区,本科,天潼路
美味不用等（上海）信息科技股份有限公司,数据分析师,15k-30k,500-2000人,"['SQLServer', '数据挖掘', '数据分析', '数据处理']","移动互联网,O2O",3-5年,浦东新区,本科,金科路
上海业霆网络科技有限公司,数据分析师,15k-30k,500-2000人,"['BI', '数据分析', 'SQL', '数据库']","移动互联网,教育",3-5年,静安区,本科,昌平路
浙江九翎网络科技有限公司上海分公司,数据分析师,6k-9k,150-500人,['数据分析'],游戏,1-3年,徐汇区,不限,虹漕路
华住酒店管理有限公司,数据分析师,12k-17k,2000人以上,['数据分析'],"旅游,生活服务",1-3年,闵行区,本科,漕河泾开发区
上海旖美信息技术有限公司,数据分析师,10k-15k,150-500人,['数据分析'],数据服务 金融,3-5年,徐汇区,本科,漕溪路
上海盛惜投资管理有限公司,数据分析师,20k-35k,50-150人,"['数据仓库', '数据分析']","移动互联网,金融",3-5年,黄浦区,本科,陆家浜路
上海云济信息科技有限公司,数据分析师,10k-20k,2000人以上,"['数据分析', 'BI', '数据库']","生活服务,金融",1-3年,杨浦区,本科,江浦公园
上海联元智能科技有限公司,数据分析师,15k-30k,50-150人,"['BI', '商业', '数据分析']","移动互联网,数据服务",3-5年,普陀区,本科,上海西站
上海袋虎信息技术有限公司,数据分析师（可视化）,10k-20k,150-500人,"['BI', '可视化', 'SPSS', '数据库']","移动互联网,医疗健康",3-5年,闵行区,本科,虹桥火车站
上海小牛互娱智能科技有限公司,数据分析师（实习）,4k-6k,500-2000人,"['分析师', '策略设计']",移动互联网,1年以下,浦东新区,本科,
上海奕己信息科技有限公司,数据分析师,8k-16k,15-50人,"['数据分析', 'SPSS']","移动互联网,社交网络",1-3年,松江区,大专,
上海美莱投资管理有限公司,数据分析主管,8k-13k,2000人以上,"['SEO', '数据分析', '运营']","医疗健康,电子商务",3-5年,长宁区,本科,交通大学
交银企业管理服务（上海）有限公司张江高科技园区分公司,数据分析经理（金融科技）,15k-30k,2000人以上,"['MySQL', '数据分析']","移动互联网,金融",5-10年,长宁区,本科,延安西路
北京字节跳动科技有限公司,数据分析师,15k-30k,2000人以上,['数据分析'],"移动互联网,数据服务",1-3年,徐汇区,本科,
上海小牛互娱智能科技有限公司,数据分析师,15k-25k,500-2000人,"['数据分析', '可视化', '商业']",移动互联网,3-5年,浦东新区,不限,
交银企业管理服务（上海）有限公司张江高科技园区分公司,资深数据分析经理,25k-50k,2000人以上,"['数据挖掘', '数据分析', '数据处理']","移动互联网,金融",5-10年,长宁区,本科,延安西路
世纪畅链有限责任公司,资深数据分析师,20k-30k,150-500人,"['数据分析', '数据仓库', '数据挖掘', '算法']",电子商务 金融,5-10年,杨浦区,本科,江湾体育场
